date,visitors,orders,revenue,ad_spend,conversion_rate,aov,cac,revenue_growth_pct
2025-09-08,1070,30,1332.82,707.81,0.028,44.43,23.59,-24.279999999999998
2025-09-09,977,30,1535.67,895.86,0.0307,51.19,29.86,15.22
2025-09-10,926,36,1333.0,774.94,0.0389,37.03,21.53,-13.200000000000001
2025-09-11,973,22,924.07,736.53,0.0226,42.0,33.48,-30.680000000000003
2025-09-12,1130,37,1665.97,967.19,0.0327,45.03,26.14,80.28999999999999
2025-09-13,1260,30,1357.05,1235.44,0.0238,45.24,41.18,-18.54
2025-09-14,1205,34,1453.49,982.12,0.0282,42.75,28.89,7.109999999999999
2025-09-15,1109,38,1828.34,911.88,0.0343,48.11,24.0,25.790000000000003
2025-09-16,954,29,1150.2,717.33,0.0304,39.66,24.74,-37.09
2025-09-17,958,25,1107.2,681.33,0.0261,44.29,27.25,-3.74
2025-09-18,1002,27,1231.24,884.88,0.0269,45.6,32.77,11.200000000000001
2025-09-19,1070,35,1665.03,770.39,0.0327,47.57,22.01,35.23
2025-09-20,1310,35,1699.53,1055.44,0.0267,48.56,30.16,2.07
2025-09-21,1272,39,1535.69,969.91,0.0307,39.38,24.87,-9.64
2025-09-22,1120,34,1269.2,943.69,0.0304,37.33,27.76,-17.349999999999998
2025-09-23,1018,28,1438.87,847.74,0.0275,51.39,30.28,13.370000000000001
2025-09-24,972,38,1773.14,881.7,0.0391,46.66,23.2,23.23
2025-09-25,1053,34,1402.76,791.37,0.0323,41.26,23.28,-20.89
2025-09-26,1139,25,1318.89,883.9,0.0219,52.76,35.36,-5.9799999999999995
2025-09-27,1297,40,1823.13,939.8,0.0308,45.58,23.49,38.23
2025-09-28,1320,36,1832.27,1011.74,0.0273,50.9,28.1,0.5
2025-09-29,1211,40,1813.5,1006.6,0.033,45.34,25.16,-1.02
2025-09-30,1948,78,3594.75,854.77,0.04,46.09,10.96,98.22
2025-10-01,928,27,1451.97,649.94,0.0291,53.78,24.07,-59.61
2025-10-02,973,31,1356.41,864.97,0.0319,43.76,27.9,-6.58
2025-10-03,1143,38,1894.6,1050.05,0.0332,49.86,27.63,39.68
2025-10-04,1371,35,1687.94,1138.43,0.0255,48.23,32.53,-10.91
2025-10-05,1384,40,2073.73,1294.51,0.0289,51.84,32.36,22.86
2025-10-06,1167,33,1325.79,856.54,0.0283,40.18,25.96,-36.07
2025-10-07,1059,29,1404.48,722.39,0.0274,48.43,24.91,5.94
2025-10-08,971,36,1810.52,599.24,0.0371,50.29,16.65,28.910000000000004
2025-10-09,1017,32,1158.6,963.3,0.0315,36.21,30.1,-36.01
2025-10-10,1243,31,1211.59,1060.05,0.0249,39.08,34.2,4.569999999999999
2025-10-11,1426,48,1670.58,1134.91,0.0337,34.8,23.64,37.88
2025-10-12,1326,51,2226.3,1088.63,0.0385,43.65,21.35,33.269999999999996
2025-10-13,1258,43,2089.27,893.76,0.0342,48.59,20.79,-6.16
2025-10-14,888,21,1102.75,955.11,0.0236,52.51,45.48,-47.22
2025-10-15,1011,28,1270.37,821.71,0.0277,45.37,29.35,15.2
2025-10-16,1075,38,2019.44,871.27,0.0353,53.14,22.93,58.96
2025-10-17,1232,33,1257.28,1058.53,0.0268,38.1,32.08,-37.74
2025-10-18,1371,44,1605.26,1144.89,0.0321,36.48,26.02,27.68
2025-10-19,1240,41,1833.61,1014.28,0.0331,44.72,24.74,14.23
2025-10-20,1177,31,1454.53,862.8,0.0263,46.92,27.83,-20.669999999999998
2025-10-21,1048,31,1389.93,885.51,0.0296,44.84,28.56,-4.44
2025-10-22,1061,18,623.93,1036.69,0.017,34.66,57.59,-55.11000000000001
2025-10-23,1067,28,1247.52,988.11,0.0262,44.55,35.29,99.95
2025-10-24,1229,36,1385.2,1142.57,0.0293,38.48,31.74,11.04
2025-10-25,1359,34,1643.84,1035.91,0.025,48.35,30.47,18.67
2025-10-26,1396,51,2388.48,1018.22,0.0365,46.83,19.97,45.300000000000004
2025-10-27,1213,29,1168.72,958.11,0.0239,40.3,33.04,-51.07000000000001
2025-10-28,1015,29,1230.49,817.36,0.0286,42.43,28.18,5.29
2025-10-29,1029,31,1230.82,932.98,0.0301,39.7,30.1,0.03
2025-10-30,1120,40,1787.46,726.47,0.0357,44.69,18.16,45.23
2025-10-31,1340,33,1642.6,1224.89,0.0246,49.78,37.12,-8.1
2025-11-01,1366,47,1883.35,1077.01,0.0344,40.07,22.92,14.66
2025-11-02,1346,40,1900.81,1033.79,0.0297,47.52,25.84,0.9299999999999999
2025-11-03,1186,31,1312.81,847.54,0.0261,42.35,27.34,-30.930000000000003
2025-11-04,979,31,1272.1,618.01,0.0317,41.04,19.94,-3.1
2025-11-05,1036,32,1422.88,911.04,0.0309,44.46,28.47,11.85
2025-11-06,1150,32,1274.36,927.23,0.0278,39.82,28.98,-10.440000000000001
2025-11-07,1314,40,1689.27,921.9,0.0304,42.23,23.05,32.56
2025-11-08,1406,40,1560.42,995.6,0.0284,39.01,24.89,-7.630000000000001
2025-11-09,260,4,219.295,1008.25,0.0154,54.82,252.06,-85.95
2025-11-10,1193,39,1761.88,1121.41,0.0327,45.18,28.75,703.43
2025-11-11,1047,38,1577.05,811.58,0.0363,41.5,21.36,-10.489999999999998
2025-11-12,999,25,1151.75,648.51,0.025,46.07,25.94,-26.97
2025-11-13,1151,44,1955.29,896.13,0.0382,44.44,20.37,69.77
2025-11-14,1355,30,1316.85,1057.0,0.0221,43.9,35.23,-32.65
2025-11-15,1529,45,2163.19,953.65,0.0294,48.07,21.19,64.27000000000001
2025-11-16,1393,45,2195.44,1108.71,0.0323,48.79,24.64,1.49
2025-11-17,1236,38,1609.2,965.46,0.0307,42.35,25.41,-26.700000000000003
2025-11-18,1072,29,1221.51,927.27,0.0271,42.12,31.97,-24.09
2025-11-19,960,28,1221.49,953.28,0.0292,43.62,34.05,-0.0
2025-11-20,1180,33,1105.18,1056.52,0.028,33.49,32.02,-9.520000000000001
2025-11-21,1360,38,1422.11,1060.95,0.0279,37.42,27.92,28.68
2025-11-22,1575,53,2747.22,1148.98,0.0337,51.83,21.68,93.17999999999999
2025-11-23,1385,44,2341.89,1365.37,0.0318,53.22,31.03,-14.75
2025-11-24,1247,34,1487.66,1003.17,0.0273,43.75,29.5,-36.480000000000004
2025-11-25,1086,36,1723.78,870.17,0.0331,47.88,24.17,15.870000000000001
2025-11-26,1016,32,1489.8,810.39,0.0315,46.56,25.32,-13.569999999999999
2025-11-27,1261,42,2536.56,1028.29,0.0333,60.39,24.48,70.26
2025-11-28,1416,46,2327.5,1118.29,0.0325,50.6,24.31,-8.24
2025-11-29,1507,40,1774.42,1148.39,0.0265,44.36,28.71,-23.76
2025-11-30,1360,38,1528.45,1033.1,0.0279,40.22,27.19,-13.86
2025-12-01,1310,43,1589.61,1044.98,0.0328,36.97,24.3,4.0
2025-12-02,1030,33,1518.57,769.46,0.032,46.02,23.32,-4.47
2025-12-03,1122,34,1401.42,826.33,0.0303,41.22,24.3,-7.71
2025-12-04,1335,41,1553.44,1078.93,0.0307,37.89,26.32,10.85
2025-12-05,1350,47,1963.06,1054.63,0.0348,41.77,22.44,26.369999999999997
2025-12-06,1455,40,1583.69,1314.68,0.0275,39.59,32.87,-19.33
2025-12-07,1421,46,2458.04,871.35,0.0324,53.44,18.94,55.21
2025-12-08,1224,36,1778.7,1088.14,0.0294,49.41,30.23,-27.639999999999997
2025-12-09,1035,30,1348.8,3809.36,0.029,44.96,126.98,-24.169999999999998
2025-12-10,1115,38,1991.19,684.33,0.0341,52.4,18.01,47.63
2025-12-11,1195,40,1815.47,921.86,0.0335,45.39,23.05,-8.82
2025-12-12,1445,48,1953.29,1118.54,0.0332,40.69,23.3,7.59
2025-12-13,1453,51,2683.4,1022.02,0.0351,52.62,20.04,37.38
2025-12-14,1503,45,2146.25,1124.84,0.0299,47.69,25.0,-20.02
2025-12-15,1219,40,1592.55,863.77,0.0328,39.81,21.59,-25.8
2025-12-16,1109,32,1409.55,1062.16,0.0289,44.05,33.19,-11.49
2025-12-17,1171,37,1503.01,1029.99,0.0316,40.62,27.84,6.63
2025-12-18,1209,36,1371.1,1094.53,0.0298,38.09,30.4,-8.780000000000001
2025-12-19,1453,44,2183.76,1234.87,0.0303,49.63,28.07,59.27
2025-12-20,1580,51,2781.9,1151.36,0.0323,54.55,22.58,27.389999999999997
2025-12-21,1355,36,1368.26,1031.93,0.0266,38.01,28.66,-50.82
2025-12-22,1276,49,2342.93,1069.55,0.0384,47.81,21.83,71.23
2025-12-23,1151,30,1252.4,798.24,0.0261,41.75,26.61,-46.550000000000004
2025-12-24,1188,30,1276.93,1021.59,0.0253,42.56,34.05,1.96
2025-12-25,1231,43,1807.64,961.14,0.0349,42.04,22.35,41.56
2025-12-26,1397,46,1871.28,1080.04,0.0329,40.68,23.48,3.52
2025-12-27,1556,51,2307.37,1316.17,0.0328,45.24,25.81,23.3
2025-12-28,1461,47,1919.73,1212.92,0.0322,40.85,25.81,-16.8
2025-12-29,1288,39,1807.74,994.28,0.0303,46.35,25.49,-5.83
2025-12-30,1168,31,1387.21,1050.26,0.0265,44.75,33.88,-23.26
2025-12-31,1134,34,1489.38,799.01,0.03,43.81,23.5,7.37
2026-01-01,1328,36,1456.64,1123.6,0.0271,40.46,31.21,-2.1999999999999997
2026-01-02,1498,51,2147.92,1257.98,0.034,42.12,24.67,47.46
2026-01-03,1510,44,2146.19,1176.7,0.0291,48.78,26.74,-0.08
2026-01-04,1549,41,1947.69,1271.68,0.0265,47.5,31.02,-9.25
2026-01-05,1308,38,1524.26,921.38,0.0291,40.11,24.25,-21.740000000000002
2026-01-06,1104,35,1592.38,975.83,0.0317,45.5,27.88,4.47
2026-01-07,1220,34,1657.74,957.57,0.0279,48.76,28.16,4.1000000000000005
2026-01-08,1290,34,1246.2,979.55,0.0264,36.65,28.81,-24.83
2026-01-09,1544,48,2290.41,1339.8,0.0311,47.72,27.91,83.78999999999999
2026-01-10,1618,50,2084.34,1223.97,0.0309,41.69,24.48,-9.0
2026-01-11,1424,40,1914.12,998.47,0.0281,47.85,24.96,-8.17
2026-01-12,1342,38,1564.98,917.66,0.0283,41.18,24.15,-18.240000000000002
2026-01-13,1198,37,1331.1,1018.98,0.0309,35.98,27.54,-14.940000000000001
2026-01-14,1248,30,1105.87,870.27,0.024,36.86,29.01,-16.919999999999998
2026-01-15,1456,35,1583.41,1340.28,0.024,45.24,38.29,43.18
2026-01-16,1512,41,1898.24,1001.73,0.0271,46.3,24.43,19.88
2026-01-17,1537,45,1821.53,1399.2,0.0293,40.48,31.09,-4.04
2026-01-18,1430,45,2168.68,1165.29,0.0315,48.19,25.9,19.06
2026-01-19,1262,45,1706.198666666667,999.81,0.0357,37.92,22.22,-21.33
2026-01-20,1187,40,1905.8986666666667,895.27,0.0337,47.65,22.38,11.700000000000001
2026-01-21,1244,37,1585.0560000000003,1034.8,0.0297,42.84,27.97,-16.830000000000002
2026-01-22,1398,42,1986.858,1114.35,0.03,47.31,26.53,25.35
2026-01-23,1586,41,2163.84,1379.33,0.0259,52.78,33.64,8.91
2026-01-24,1590,48,2344.2,1283.09,0.0302,48.84,26.73,8.34
2026-01-25,1557,45,2390.792,1260.46,0.0289,53.13,28.01,1.9900000000000002
2026-01-26,1299,41,2598.3006666666665,1002.57,0.0316,63.37,24.45,8.68
2026-01-27,1341,36,1971.0080000000003,1067.12,0.0268,54.75,29.64,-24.14
